83 59 95 49 63 40 42 7 6 60 
7 88 16 25 84 68 34 45 99 96 
74 59 22 37 5 66 29 25 87 74 
38 23 85 33 72 0 73 66 59 32 
26 66 72 94 43 57 14 77 54 14 
73 80 25 47 70 83 65 99 8 53 
25 46 28 10 80 0 62 5 19 21 
37 45 39 10 92 83 67 6 60 21 
72 86 1 98 33 71 81 99 23 89 
4 0 36 32 63 68 84 25 73 3 
99 11 1 38 21 45 21 40 3 34 
13 76 20 66 26 5 90 7 56 13 
48 12 13 36 44 28 4 81 54 30 
36 53 41 89 43 14 34 65 54 90 
51 19 66 23 85 92 28 75 51 85 
40 51 49 6 88 94 34 44 27 88 
74 15 93 67 5 37 33 91 54 39 
81 5 58 99 28 44 43 8 71 94 
45 12 98 95 18 86 41 4 82 68 
45 9 83 38 76 40 27 10 32 81 
1 65 38 60 65 18 56 8 27 27 
55 72 91 53 67 61 91 60 66 73 
28 11 82 64 1 11 4 29 73 88 
62 74 54 53 86 71 71 42 79 98 
22 86 23 13 39 42 75 82 3 93 
56 83 4 90 47 57 53 4 38 78 
44 53 53 50 6 91 21 77 34 53 
